s 3
t 12
E 1
V 17
e 0 1 2
e 0 2 2
e 4 0 3
e 8 0 4
e 9 0 1
e 10 0 3
e 12 0 1
e 0 15 1
e 5 1 2
e 9 1 1
e 1 11 3
e 1 12 1
e 2 4 1
e 2 6 2
e 7 2 3
e 2 8 3
e 9 2 1
e 10 2 1
e 14 2 3
e 4 3 2
e 3 5 1
e 3 6 4
e 3 8 2
e 3 10 4
e 3 11 4
e 12 3 4
e 13 3 1
e 4 5 1
e 7 4 3
e 4 10 3
e 4 13 1
e 4 15 2
e 5 7 3
e 8 5 2
e 5 10 1
e 12 5 2
e 5 13 3
e 5 14 2
e 5 16 3
e 6 9 2
e 6 10 1
e 6 12 2
e 6 13 2
e 14 6 1
e 7 8 1
e 9 7 1
e 7 10 3
e 13 7 2
e 9 8 1
e 8 11 2
e 8 14 1
e 8 15 3
e 8 16 2
e 11 9 2
e 11 10 2
e 12 10 2
e 10 13 3
e 12 11 2
e 13 11 2
e 11 15 2
e 16 11 1
e 13 15 1
e 14 15 3
e 16 15 3
